Date,Open,High,Low,Last,Close,Volume
1-4-2010,156.524994,164.292007,155.932007,163.727997,131.328308,6715950
1-5-2010,165.231995,166.617004,159.908997,160.473007,128.717453,5865107
1-6-2010,162.244003,162.856995,159.304993,160.701004,128.90033,3534585
1-7-2010,161.244995,162.065994,154.388,155.287994,124.558495,5220538
1-8-2010,155.733994,159.276001,155.160004,156.158997,125.257126,3700724
1-11-2010,158.108002,158.108002,154.981995,156.001007,125.130409,2301409
1-12-2010,156.128998,157.524002,154.526993,155.358002,124.614639,2330007
1-13-2010,154.328995,156.970001,150.391006,155.348007,124.606644,3850110
1-14-2010,156.604004,157.287003,154.367996,154.822998,124.185493,1933641
1-15-2010,155.932007,158.869995,153.417999,157.653,126.455482,4024906
1-18-2010,157.119003,160.858994,155.406998,159.949005,128.29715,3986039
1-19-2010,160.789993,161.867996,158.503998,158.968994,127.51107,1943263
1-20-2010,160.878998,160.878998,158.167999,158.938995,127.487007,2111630
1-21-2010,158.108002,158.880005,153.923004,154.556,123.971344,1469330
1-22-2010,152.567993,155.604996,149.401001,154.061996,123.575104,2178367
1-25-2010,152.764999,154.942001,150.192993,152.013,121.931572,1906458
1-27-2010,150.272003,151.776001,140.496994,141.684006,113.646553,3968357
1-28-2010,143.464996,145.423996,139.735001,141.535995,113.52784,2889465
1-29-2010,140.496994,142.475998,133.076004,137.399994,110.210304,4756865
2-1-2010,138.399002,143.069,134.362,142.287994,114.131035,6698793
2-2-2010,144.059006,145.681,139.507004,140.091003,112.368797,4565403
2-3-2010,140.516006,143.860992,139.804001,142.811996,114.551315,2757119
2-4-2010,142.080002,142.080002,135.787003,136.578995,109.551758,2671932
2-5-2010,134.559998,135.253006,128.623993,133.184998,106.829399,3925089
2-6-2010,null,null,null,null,null,null
2-8-2010,134.955994,135.985001,127.653999,133.294006,106.916832,3805781
2-9-2010,134.343002,135.945007,131.393997,133.828003,107.345146,2700848
2-10-2010,135.154007,135.945007,132.106003,132.552002,106.321663,2484154
2-11-2010,132.779007,136.914993,132.600998,136.093994,109.16272,2351985
2-15-2010,136.539001,138.914001,134.559998,135.035004,108.313309,2675813
2-16-2010,136.143005,140.061005,136.143005,139.112,111.583519,2435853
2-17-2010,141.485992,142.850998,140.199997,140.774002,112.916634,2489945
2-18-2010,141.684006,142.248001,139.298996,140.457001,112.662361,1769240
2-19-2010,139.309006,140.289001,135.964996,138.102005,110.773392,2119003
2-22-2010,138.914001,141.348007,137.528,139.496994,111.892319,2312911
2-23-2010,137.528,141.287994,137.528,138.339996,110.964279,3002401
2-24-2010,136.934998,138.220993,134.184006,135.975006,109.067284,2374503
2-25-2010,135.550003,135.746994,131.393997,132.324005,106.138786,2365710
2-26-2010,132.324005,142.218002,131.789993,140.703995,112.860489,7632968
3-2-2010,144.255997,159.889008,143.662994,157.731995,126.518852,15207624
3-3-2010,159.296005,161.076004,157.494995,159.789993,128.169586,8959340
3-4-2010,159.710999,163.945999,157.949997,160.610992,128.828125,8710839
3-5-2010,161.274002,161.610992,156.979996,157.376007,126.233299,24201343
3-8-2010,160.681,161.294006,156.742996,157.662994,126.463509,3933336
3-9-2010,151.380005,156.307999,148.412003,152.548004,122.360718,221371337
3-10-2010,154.348007,156.822006,153.369003,154.042007,123.559059,5852640
3-11-2010,154.744003,154.822998,151.776001,152.548004,122.360718,2516102
3-12-2010,152.764999,154.229996,150.391006,150.688004,120.868767,2372280
3-15-2010,155.535995,155.535995,149.994995,152.063004,121.971695,3402345
3-16-2010,152.369995,155.990997,151.973999,155.625,124.828812,3534024
3-17-2010,156.326996,157.475006,153.953003,154.339005,123.797287,3439422
3-18-2010,154.744003,155.526001,153.190994,154.378006,123.828568,2151740
3-19-2010,154.903,155.673996,153.626007,155.080994,124.392448,1918228
3-22-2010,153.339005,154.843002,150.005005,150.391006,120.630554,2130571
3-23-2010,150.787003,152.557999,145.651993,146.244995,117.30497,5320466
3-25-2010,145.246002,146.037003,141.386993,143.514008,115.114433,4867981
3-26-2010,144.255997,149.847,144.059006,148.343002,118.987823,6182796
3-29-2010,149.143997,150.391006,145.473007,146.363998,117.400436,4252242
3-30-2010,147.619995,150.341003,146.828995,149.658997,120.043404,4234636
3-31-2010,150.391006,151.716995,148.807999,149.539993,119.947937,3115943
4-1-2010,149.401001,154.348007,149.401001,153.537003,123.153992,3103865
4-5-2010,156.307999,156.307999,151.994003,154.516998,123.940071,2705876
4-6-2010,154.942001,155.317993,151.994003,153.220993,122.90052,2183961
4-7-2010,153.160995,157.584,153.160995,156.931,125.876358,3443409
4-8-2010,156.802002,156.921005,152.587006,153.151001,122.844376,2139733
4-9-2010,154.151001,161.214996,154.151001,160.057007,128.383774,5825286
4-12-2010,160.483002,160.483002,154.348007,154.873001,124.225624,3504420
4-13-2010,153.358994,155.337997,150.598999,153.289993,122.955856,8621438
4-15-2010,154.942001,157.830994,152.804993,153.498001,123.122696,3375359
4-16-2010,154.348007,156.128998,152.764999,155.268997,124.543251,4598917
4-19-2010,152.983002,154.229996,151.082993,153.447998,123.082603,2654614
4-20-2010,153.597,158.087997,153.457993,156.723007,125.709518,3847093
4-21-2010,158.246994,160.681,156.931,160.117004,128.4319,3720281
4-22-2010,159.018005,168.992004,158.938995,165.460007,132.717606,10989195
4-23-2010,167.210999,168.100998,163.778,167.132004,134.058716,5225026
4-26-2010,168.160995,170.337006,167.210999,168.348999,135.034897,3006843
4-27-2010,168.001999,169.169998,166.893997,167.576996,134.415649,3431655
4-28-2010,164.242996,166.944,162.085999,162.550995,130.384232,3618584
4-29-2010,164.242996,168.082001,162.679001,166.785004,133.780396,3916361
4-30-2010,167.606995,173.720993,167.606995,172.722,138.542526,6743158
5-3-2010,172.455002,174.572006,167.804001,169.298996,135.796875,4415865
5-4-2010,171.169006,172.018997,166.024002,166.656998,133.677704,4199752
5-5-2010,164.242996,166.636993,161.580994,165.360992,132.638168,3838538
5-6-2010,164.638,165.102997,159.919006,161.195007,129.29657,4831869
5-7-2010,158.503998,158.791,149.707993,150.886002,121.027596,4964270
5-10-2010,154.348007,161.669998,152.764999,161.026993,129.161819,3896370
5-11-2010,162.264008,162.462006,157.257004,158.207001,126.899864,4422606
5-12-2010,158.503998,160.561996,156.565002,158.850006,127.415611,3449251
5-13-2010,160.483002,165.330994,160.483002,164.460007,131.915482,4960763
5-14-2010,164.162994,164.539001,160.503006,161.423004,129.479446,2516087
5-17-2010,159.889008,160.285004,153.636002,156.119995,125.225845,3552787
5-18-2010,157.317001,157.317001,151.617996,152.675995,122.463371,4181812
5-19-2010,151.162994,151.380005,139.834,141.386993,113.408295,7434861
5-20-2010,142.475998,144.850006,137.746002,140.912003,113.027321,7126870
5-21-2010,136.498993,141.447006,133.591003,140.556,112.741753,7721485
5-24-2010,141.485992,146.423004,138.834,139.824005,112.154625,4813267
5-25-2010,138.477997,138.477997,132.580994,133.313995,106.932869,5708661
5-26-2010,135.391006,141.169006,134.382004,140.348007,112.574928,6200958
5-27-2010,140.813004,148.391998,139.319,147.007004,117.916191,7466455
