Date,Open,High,Low,Last,Close,Volume
4/1/2020,71.099998,71.599998,67.599998,67.949997,67.949997,2648532
4/3/2020,68,68,64.800003,65.300003,65.300003,1899909
4/7/2020,68.949997,69,66.949997,67.349998,67.349998,1972661
4/8/2020,67.050003,71.550003,65.449997,67.599998,67.599998,4414992
4/9/2020,69.550003,76.199997,69.199997,74.599998,74.599998,8287109
4/13/2020,75,77.599998,72.75,74.300003,74.300003,3731307
4/15/2020,75,78.650002,71.949997,72.849998,72.849998,5393926
4/16/2020,72,75.400002,71.099998,74.650002,74.650002,2529141
4/17/2020,78,78.25,74.75,76.849998,76.849998,3789325
4/20/2020,77,83.349998,75.449997,80.5,80.5,7046533
4/21/2020,78.800003,78.800003,74,74.75,74.75,2869173
4/22/2020,74.75,76.650002,72.599998,75.900002,75.900002,2633362
4/23/2020,76.550003,78.650002,75.300003,75.650002,75.650002,3975655
4/24/2020,75.300003,76.900002,74,74.150002,74.150002,2248898
4/27/2020,76,76.150002,74.800003,75.25,75.25,1233681
4/28/2020,75.900002,78.099998,75.300003,76.949997,76.949997,1861672
4/29/2020,77.699997,79.300003,76.75,78.150002,78.150002,2109471
4/30/2020,85.949997,93.75,85.949997,93.099998,93.099998,7718772
