Date,Open,High,Low,Last,Close,Volume
3-2-2020,133.5,133.800003,123.800003,125.199997,125.199997,4629842
3-3-2020,126.75,131.300003,125.25,130.399994,130.399994,3144747
3-4-2020,130.5,130.5,120.550003,126.300003,126.300003,3369295
3-5-2020,128,129.800003,124.300003,125.650002,125.650002,4052208
3-6-2020,114.300003,117.25,112.949997,114.25,114.25,4170651
3-9-2020,114.25,114.25,114.25,114.25,114.25,0
3-11-2020,105.199997,106.5,97.75,99,99,5742651
3-12-2020,92.699997,94.900002,85.75,88,88,8037400
3-13-2020,82.199997,94.199997,78,89.75,89.75,10613571
3-16-2020,86.75,87.650002,82.199997,82.949997,82.949997,3827222
3-17-2020,82.699997,84.800003,77.5,77.900002,77.900002,5206037
3-18-2020,80,80.5,75.099998,75.5,75.5,3815807
3-19-2020,70.599998,76.5,68.800003,72.949997,72.949997,5387940
3-20-2020,74.300003,79.550003,72.699997,77.400002,77.400002,4843183
3-23-2020,71,72.099998,69.699997,69.699997,69.699997,1526872
3-24-2020,70,71.199997,63.599998,68.599998,68.599998,2487156
3-25-2020,68.900002,71.699997,67.099998,70.199997,70.199997,2611383
3-26-2020,71.699997,73.5,68.300003,70.800003,70.800003,2888342
3-27-2020,71.050003,75.849998,69.400002,70.650002,70.650002,2962238
3-30-2020,70.650002,70.650002,67.400002,68.150002,68.150002,2142665
3-31-2020,71.449997,71.449997,68.199997,71.050003,71.050003,2418642
4-1-2020,71.099998,71.599998,67.599998,67.949997,67.949997,2648532
4-3-2020,68,68,64.800003,65.300003,65.300003,1899909
4-7-2020,68.949997,69,66.949997,67.349998,67.349998,1972661
4-8-2020,67.050003,71.550003,65.449997,67.599998,67.599998,4414992
4-9-2020,69.550003,76.199997,69.199997,74.599998,74.599998,8287109
4-13-2020,75,77.599998,72.75,74.300003,74.300003,3731307
4-15-2020,75,78.650002,71.949997,72.849998,72.849998,5393926
4-16-2020,72,75.400002,71.099998,74.650002,74.650002,2529141
4-17-2020,78,78.25,74.75,76.849998,76.849998,3789325
4-20-2020,77,83.349998,75.449997,80.5,80.5,7046533
4-21-2020,78.800003,78.800003,74,74.75,74.75,2869173
4-22-2020,74.75,76.650002,72.599998,75.900002,75.900002,2633362
4-23-2020,76.550003,78.650002,75.300003,75.650002,75.650002,3975655
4-24-2020,75.300003,76.900002,74,74.150002,74.150002,2248898
4-27-2020,76,76.150002,74.800003,75.25,75.25,1233681
4-28-2020,75.900002,78.099998,75.300003,76.949997,76.949997,1861672
4-29-2020,77.699997,79.300003,76.75,78.150002,78.150002,2109471
4-30-2020,85.949997,93.75,85.949997,93.099998,93.099998,7718772
